Activity;Product;Geography;Matched Substance;Color;Formula;Product_Percentage;Atomic_Percentage;Final_Percentage
copper mine operation and beneficiation, sulfide ore;molybdenite;RoW;Molybdenum;#c49c94;Mo;1;59.94252515;59.94252515
copper mine operation and beneficiation, sulfide ore;copper concentrate, sulfide ore;US;Copper;#9467bd;Cu;1;100;100
copper mine operation and beneficiation, sulfide ore;molybdenite;US;Molybdenum;#c49c94;Mo;1;59.94252515;59.94252515
copper mine operation and beneficiation, sulfide ore;copper concentrate, sulfide ore;ZM;Copper;#9467bd;Cu;1;100;100
copper production, cathode, solvent extraction and electrowinning process;copper, cathode;GLO;Copper;#9467bd;Cu;1;100;100
copper production, cathode, solvent extraction and electrowinning process;sulfuric acid;GLO;Sulfur;#2ca02c;S;1;32.69026837;32.69026837
dolomite production;dolomite;RoW;Dolomite;#8c564b;C2CaMgO6;1;100;100
dolomite production;dolomite;RER;Dolomite;#8c564b;C2CaMgO6;1;100;100
feldspar production;feldspar;RoW;Feldspar;#e377c2;;1;100;100
feldspar production;feldspar;RER;Feldspar;#e377c2;;1;100;100
ferrochromium production, high-carbon, 55% Cr;ferrochromium, high-carbon, 55% Cr;RoW;Chromium;#f7b6d2;Cr;0.55;100;55
