index;activityName;geography;product;unitName
0;1,1-difluoroethane production;RoW;1,1-difluoroethane;kg
1;1,1-difluoroethane production;US;1,1-difluoroethane;kg
2;1,1-dimethylcyclopentane to generic market for solvent, organic;GLO;solvent, organic;kg
3;1,3-dichloropropene to generic market for pesticide, unspecified;GLO;pesticide, unspecified;kg
4;1,4-butanediol production;RoW;1,4-butanediol;kg
5;1,4-butanediol production;RER;1,4-butanediol;kg
6;1-methoxy-2-propanol production;GLO;1-methoxy-2-propanol;kg
7;1-methylcyclopropene production;GLO;1-methylcyclopropene;kg
8;1-methylcyclopropene production;GLO;sodium chloride, powder;kg
9;1-naphthylacetic acid production;GLO;1-naphthylacetic acid;kg
10;1-propanol production;RoW;1-propanol;kg
11;1-propanol production;RER;1-propanol;kg
12;2,3-dimethylbutan to generic market for solvent, organic;GLO;solvent, organic;kg
13;2,4-di-tert-butylphenol production;GLO;2,4-di-tert-butylphenol;kg
14;2,4-dichlorophenol production;RoW;2,4-dichlorophenol;kg
15;2,4-dichlorophenol production;RER;2,4-dichlorophenol;kg
16;2,4-dichlorotoluene production;RoW;2,4-dichlorotoluene;kg
17;2,4-dichlorotoluene production;RER;2,4-dichlorotoluene;kg
18;2,4-dinitrotoluene production;RoW;2,4-dinitrotoluene;kg
19;2,4-dinitrotoluene production;RER;2,4-dinitrotoluene;kg
20;2,5-dimethylhexane-2,5-dihydroperoxide production;GLO;2,5-dimethylhexane-2,5-dihydroperoxide;kg
21;2,6-di-tert-butylphenol production;GLO;2,6-di-tert-butylphenol;kg
22;2-butanol production by hydration of butene;RoW;2-butanol;kg
23;2-butanol production by hydration of butene;RoW;butane;kg
24;2-butanol production by hydration of butene;RER;2-butanol;kg
25;2-butanol production by hydration of butene;RER;butane;kg
26;2-cyclopentanone production, decarboxylative cyclization of adipic acid;RoW;2-cyclopentanone;kg
27;2-cyclopentanone production, decarboxylative cyclization of adipic acid;RoW;formic acid;kg
28;2-cyclopentanone production, decarboxylative cyclization of adipic acid;RER;2-cyclopentanone;kg
29;2-cyclopentanone production, decarboxylative cyclization of adipic acid;RER;formic acid;kg
30;2-methyl-2-butanol production;RoW;2-methyl-2-butanol;kg
31;2-methyl-2-butanol production;RER;2-methyl-2-butanol;kg
32;2-methylpentane to generic market for solvent, organic;GLO;solvent, organic;kg
33;2-nitroaniline production;RoW;2-nitroaniline;kg
34;2-nitroaniline production;RER;2-nitroaniline;kg
35;2-pyridinol production;RoW;2-pyridinol;kg
36;2-pyridinol production;RER;2-pyridinol;kg
37;3-methyl-1-butyl acetate production;RoW;3-methyl-1-butyl acetate;kg
38;3-methyl-1-butyl acetate production;RER;3-methyl-1-butyl acetate;kg
39;3-methylpyridine production;RoW;3-methylpyridine;kg
40;3-methylpyridine production;RER;3-methylpyridine;kg
41;4-methyl-2-pentanone production;RoW;4-methyl-2-pentanone;kg
42;4-methyl-2-pentanone production;RER;4-methyl-2-pentanone;kg
43;4-tert-butylbenzaldehyde production;RoW;4-tert-butylbenzaldehyde;kg
44;4-tert-butylbenzaldehyde production;RER;4-tert-butylbenzaldehyde;kg
45;4-tert-butyltoluene production;RoW;4-tert-butyltoluene;kg
46;4-tert-butyltoluene production;RER;4-tert-butyltoluene;kg
47;6-benzyladenine production;GLO;6-benzyladenine;kg
48;BTX production, from pyrolysis gas, average;RoW;benzene;kg
49;BTX production, from pyrolysis gas, average;RoW;hydrocarbons, aromatic, cyclic (C9+);kg
50;BTX production, from pyrolysis gas, average;RoW;o-xylene;kg
51;BTX production, from pyrolysis gas, average;RoW;p-xylene;kg
52;BTX production, from pyrolysis gas, average;RoW;raffinate;kg
53;BTX production, from pyrolysis gas, average;RoW;toluene, liquid;kg
54;BTX production, from pyrolysis gas, average;RoW;xylene, mixed;kg
55;BTX production, from pyrolysis gas, average;RER;benzene;kg
56;BTX production, from pyrolysis gas, average;RER;hydrocarbons, aromatic, cyclic (C9+);kg
57;BTX production, from pyrolysis gas, average;RER;o-xylene;kg
58;BTX production, from pyrolysis gas, average;RER;p-xylene;kg
59;BTX production, from pyrolysis gas, average;RER;raffinate;kg
60;BTX production, from pyrolysis gas, average;RER;toluene, liquid;kg
61;BTX production, from pyrolysis gas, average;RER;xylene, mixed;kg
62;BTX production, from reformate, average;RoW;benzene;kg
63;BTX production, from reformate, average;RoW;hydrocarbons, aromatic, cyclic (C9+);kg
64;BTX production, from reformate, average;RoW;o-xylene;kg
65;BTX production, from reformate, average;RoW;p-xylene;kg
66;BTX production, from reformate, average;RoW;raffinate;kg
67;BTX production, from reformate, average;RoW;toluene, liquid;kg
68;BTX production, from reformate, average;RoW;xylene, mixed;kg
69;BTX production, from reformate, average;RER;benzene;kg
70;BTX production, from reformate, average;RER;hydrocarbons, aromatic, cyclic (C9+);kg
71;BTX production, from reformate, average;RER;o-xylene;kg
72;BTX production, from reformate, average;RER;p-xylene;kg
73;BTX production, from reformate, average;RER;raffinate;kg
74;BTX production, from reformate, average;RER;toluene, liquid;kg
75;BTX production, from reformate, average;RER;xylene, mixed;kg
76;C3 hydrocarbon production, mixture, petroleum refinery operation;BR;C3 hydrocarbon mixture;kg
77;C3 hydrocarbon production, mixture, petroleum refinery operation;CO;C3 hydrocarbon mixture;kg
78;C3 hydrocarbon production, mixture, petroleum refinery operation;Europe without Switzerland;C3 hydrocarbon mixture;kg
79;C3 hydrocarbon production, mixture, petroleum refinery operation;IN;C3 hydrocarbon mixture;kg
80;C3 hydrocarbon production, mixture, petroleum refinery operation;PE;C3 hydrocarbon mixture;kg
81;C3 hydrocarbon production, mixture, petroleum refinery operation;RoW;C3 hydrocarbon mixture;kg
82;C3 hydrocarbon production, mixture, petroleum refinery operation;ZA;C3 hydrocarbon mixture;kg
83;Distiller's Dried Grains with Solubles to generic market for protein feed;GLO;energy feed, gross;MJ
84;Distiller's Dried Grains with Solubles to generic market for protein feed;GLO;protein feed, 100% crude;kg
85;EUR-flat pallet production;RoW;EUR-flat pallet;unit
86;EUR-flat pallet production;RER;EUR-flat pallet;unit
87;MOX fuel element production, for light water reactor;RoW;MOX fuel element, for light water reactor;kg
88;MOX fuel element production, for light water reactor;UCTE;MOX fuel element, for light water reactor;kg
89;N,N-dimethylformamide production, direct synthesis;RoW;N,N-dimethylformamide;kg
90;N,N-dimethylformamide production, direct synthesis;RER;N,N-dimethylformamide;kg
91;N-methyl-2-pyrrolidone production;RoW;N-methyl-2-pyrrolidone;kg
92;N-methyl-2-pyrrolidone production;RER;N-methyl-2-pyrrolidone;kg
93;NCA hydroxide production, for Li-ion battery;CN;NCA hydroxide;kg
94;NCA hydroxide production, for Li-ion battery;CN;sodium sulfate, anhydrite;kg
95;NCA hydroxide production, for Li-ion battery;RoW;NCA hydroxide;kg
96;NCA hydroxide production, for Li-ion battery;RoW;sodium sulfate, anhydrite;kg
97;NCA oxide production, for Li-ion battery;CN;NCA oxide;kg
98;NCA oxide production, for Li-ion battery;RoW;NCA oxide;kg
99;NMC111 hydroxide production, for Li-ion battery;CN;NMC111 hydroxide;kg
100;NMC111 hydroxide production, for Li-ion battery;CN;sodium sulfate, anhydrite;kg
101;NMC111 hydroxide production, for Li-ion battery;RoW;NMC111 hydroxide;kg
102;NMC111 hydroxide production, for Li-ion battery;RoW;sodium sulfate, anhydrite;kg
103;NMC111 oxide production, for Li-ion battery;CN;NMC111 oxide;kg
104;NMC111 oxide production, for Li-ion battery;RoW;NMC111 oxide;kg
105;NMC811 hydroxide production, for Li-ion battery;CN;NMC811 hydroxide;kg
106;NMC811 hydroxide production, for Li-ion battery;CN;sodium sulfate, anhydrite;kg
107;NMC811 hydroxide production, for Li-ion battery;RoW;NMC811 hydroxide;kg
108;NMC811 hydroxide production, for Li-ion battery;RoW;sodium sulfate, anhydrite;kg
109;NMC811 oxide production, for Li-ion battery;CN;NMC811 oxide;kg
110;NMC811 oxide production, for Li-ion battery;RoW;NMC811 oxide;kg
111;NPK (15-15-15) fertiliser production;CN;NPK (15-15-15) fertiliser;kg
112;NPK (15-15-15) fertiliser production;RoW;NPK (15-15-15) fertiliser;kg
113;NPK (15-15-15) fertiliser production;RER;NPK (15-15-15) fertiliser;kg
114;NPK (15-15-15) fertiliser production;RNA;NPK (15-15-15) fertiliser;kg
115;NPK (26-15-15) fertiliser production;CN;NPK (26-15-15) fertiliser;kg
116;NPK (26-15-15) fertiliser production;RoW;NPK (26-15-15) fertiliser;kg
117;NPK (26-15-15) fertiliser production;RER;NPK (26-15-15) fertiliser;kg
118;NPK (26-15-15) fertiliser production;RNA;NPK (26-15-15) fertiliser;kg
119;[sulfonyl]urea-compound production;RoW;[sulfonyl]urea-compound;kg
120;[sulfonyl]urea-compound production;RER;[sulfonyl]urea-compound;kg
121;[thio]carbamate-compound production;RoW;[thio]carbamate-compound;kg
122;[thio]carbamate-compound production;RER;[thio]carbamate-compound;kg
123;abrasive blasting, alumina, carbon steel substrate;GLO;abrasive blasting, alumina, carbon steel substrate;m2
124;absorption chiller production, 100kW;CH;absorption chiller, 100kW;unit
125;absorption chiller production, 100kW;RoW;absorption chiller, 100kW;unit
126;acetaldehyde production, ethylene oxidation;RoW;acetaldehyde;kg
127;acetaldehyde production, ethylene oxidation;RER;acetaldehyde;kg
128;acetamide-anillide-compound production, unspecified;RoW;acetamide-anillide-compound, unspecified;kg
129;acetamide-anillide-compound production, unspecified;RER;acetamide-anillide-compound, unspecified;kg
130;acetanilide production;RoW;acetanilide;kg
131;acetanilide production;RER;acetanilide;kg
132;acetic acid production, butane oxidation;RoW;acetic acid, without water, in 98% solution state;kg
133;acetic acid production, butane oxidation;RoW;acetone, liquid;kg
134;acetic acid production, butane oxidation;RoW;ethyl acetate;kg
135;acetic acid production, butane oxidation;RoW;formic acid;kg
136;acetic acid production, butane oxidation;RoW;methyl acetate;kg
137;acetic acid production, butane oxidation;RoW;methyl ethyl ketone;kg
138;acetic acid production, butane oxidation;RER;acetic acid, without water, in 98% solution state;kg
139;acetic acid production, butane oxidation;RER;acetone, liquid;kg
140;acetic acid production, butane oxidation;RER;ethyl acetate;kg
141;acetic acid production, butane oxidation;RER;formic acid;kg
142;acetic acid production, butane oxidation;RER;methyl acetate;kg
143;acetic acid production, butane oxidation;RER;methyl ethyl ketone;kg
144;acetic acid production, methanol carboxylation (Monsanto), product in 98% solution state;RoW;acetic acid, without water, in 98% solution state;kg
145;acetic acid production, methanol carboxylation (Monsanto), product in 98% solution state;RoW;propionic acid;kg
146;acetic acid production, methanol carboxylation (Monsanto), product in 98% solution state;RER;acetic acid, without water, in 98% solution state;kg
147;acetic acid production, methanol carboxylation (Monsanto), product in 98% solution state;RER;propionic acid;kg
148;acetic anhydride production, acetaldehyde oxidation;RoW;acetic acid, without water, in 98% solution state;kg
149;acetic anhydride production, acetaldehyde oxidation;RoW;acetic anhydride;kg
150;acetic anhydride production, acetaldehyde oxidation;RER;acetic acid, without water, in 98% solution state;kg
151;acetic anhydride production, acetaldehyde oxidation;RER;acetic anhydride;kg
152;acetic anhydride production, acetic acid pyrolysis, via ketene intermediate;RoW;acetic anhydride;kg
153;acetic anhydride production, acetic acid pyrolysis, via ketene intermediate;RER;acetic anhydride;kg
154;acetoacetic acid production;RoW;acetoacetic acid;kg
155;acetoacetic acid production;RER;acetoacetic acid;kg
156;acetone cyanohydrin production;RoW;acetone cyanohydrin;kg
157;acetone cyanohydrin production;RER;acetone cyanohydrin;kg
158;acetone production, from isopropanol;RoW;acetone, liquid;kg
159;acetone production, from isopropanol;RER;acetone, liquid;kg
160;acetonitrile to generic market for solvent for chromatography analysis;GLO;solvent for chromatography analysis;kg
161;acetyl chloride production;RoW;acetyl chloride;kg
162;acetyl chloride production;RER;acetyl chloride;kg
163;acetylene production;RoW;acetylene;kg
164;acetylene production;RER;acetylene;kg
165;aclonifen production;RoW;aclonifen;kg
166;aclonifen production;RER;aclonifen;kg
167;acrolein production;RoW;acrolein;kg
168;acrolein production;RER;acrolein;kg
169;acrylic acid production;RoW;acetic acid, without water, in 98% solution state;kg
170;acrylic acid production;RoW;acrylic acid;kg
171;acrylic acid production;RER;acetic acid, without water, in 98% solution state;kg
172;acrylic acid production;RER;acrylic acid;kg
173;acrylic binder production, with water, in 54% solution state;RoW;acrylic binder, with water, in 54% solution state;kg
174;acrylic binder production, with water, in 54% solution state;RER;acrylic binder, with water, in 54% solution state;kg
175;acrylic dispersion production, with water, in 58% solution state;RoW;acrylic dispersion, with water, in 58% solution state;kg
176;acrylic dispersion production, with water, in 58% solution state;RER;acrylic dispersion, with water, in 58% solution state;kg
177;acrylic filler production;RoW;acrylic filler;kg
178;acrylic filler production;RER;acrylic filler;kg
179;acrylic varnish production, with water, in 53% solution state;RoW;acrylic varnish, with water, in 53% solution state;kg
180;acrylic varnish production, with water, in 53% solution state;RER;acrylic varnish, with water, in 53% solution state;kg
181;acrylonitrile production, Sohio process;RoW;acetonitrile;kg
182;acrylonitrile production, Sohio process;RoW;acrylonitrile;kg
183;acrylonitrile production, Sohio process;RoW;hydrogen cyanide;kg
184;acrylonitrile production, Sohio process;RER;acetonitrile;kg
185;acrylonitrile production, Sohio process;RER;acrylonitrile;kg
186;acrylonitrile production, Sohio process;RER;hydrogen cyanide;kg
187;acrylonitrile-butadiene-styrene copolymer production;RoW;acrylonitrile-butadiene-styrene copolymer;kg
188;acrylonitrile-butadiene-styrene copolymer production;RER;acrylonitrile-butadiene-styrene copolymer;kg
189;activated bentonite production;DE;activated bentonite;kg
190;activated bentonite production;RoW;activated bentonite;kg
191;activated carbon production, granular from hard coal;RoW;activated carbon, granular;kg
192;activated carbon production, granular from hard coal;RER;activated carbon, granular;kg
193;activated silica production;GLO;activated silica;kg
194;activated silica production;GLO;sodium sulfate, anhydrite;kg
195;adhesive mortar production;CH;adhesive mortar;kg
196;adhesive mortar production;RoW;adhesive mortar;kg
197;adhesive production, for metal;DE;adhesive, for metal;kg
198;adhesive production, for metal;RoW;adhesive, for metal;kg
199;adipic acid production;RoW;adipic acid;kg
200;adipic acid production;RoW;succinic acid;kg
201;adipic acid production;RER;adipic acid;kg
202;adipic acid production;RER;succinic acid;kg
203;adiponitrile production;RoW;adiponitrile;kg
204;adiponitrile production;RER;adiponitrile;kg
205;adobe brick production;EC;adobe brick;kg
206;adobe brick production;RoW;adobe brick;kg
207;agricultural machinery production, tillage;CH;agricultural machinery, tillage;kg
208;agricultural machinery production, tillage;RoW;agricultural machinery, tillage;kg
209;agricultural machinery production, unspecified;CH;agricultural machinery, unspecified;kg
210;agricultural machinery production, unspecified;RoW;agricultural machinery, unspecified;kg
211;agricultural trailer production;CH;agricultural trailer;kg
212;agricultural trailer production;RoW;agricultural trailer;kg
213;air compressor production, screw-type compressor, 300kW;RoW;air compressor, screw-type compressor, 300kW;unit
214;air compressor production, screw-type compressor, 300kW;RER;air compressor, screw-type compressor, 300kW;unit
215;air compressor production, screw-type compressor, 4kW;RoW;air compressor, screw-type compressor, 4kW;unit
216;air compressor production, screw-type compressor, 4kW;RER;air compressor, screw-type compressor, 4kW;unit
217;air distribution terminal panel production, steel, 120 m3/h;CH;air distribution terminal panel, steel, 120 m3/h;unit
218;air distribution terminal panel production, steel, 120 m3/h;RoW;air distribution terminal panel, steel, 120 m3/h;unit
219;air filter production, central unit, 600 m3/h;RoW;air filter, central unit, 600 m3/h;unit
220;air filter production, central unit, 600 m3/h;RER;air filter, central unit, 600 m3/h;unit
221;air filter production, decentralized unit, 180-250 m3/h;RoW;air filter, decentralized unit, 180-250 m3/h;unit
222;air filter production, decentralized unit, 180-250 m3/h;RER;air filter, decentralized unit, 180-250 m3/h;unit
223;air filter production, decentralized unit, 250 m3/h;RoW;air filter, decentralized unit, 250 m3/h;unit
224;air filter production, decentralized unit, 250 m3/h;RER;air filter, decentralized unit, 250 m3/h;unit
225;air filter production, in exhaust air valve;RoW;air filter, in exhaust air valve;unit
226;air filter production, in exhaust air valve;RER;air filter, in exhaust air valve;unit
227;air input/output unit production, heat and power co-generation unit, 160kW electrical;RoW;air input/output unit, heat and power co-generation unit, 160kW electrical;unit
228;air input/output unit production, heat and power co-generation unit, 160kW electrical;RER;air input/output unit, heat and power co-generation unit, 160kW electrical;unit
229;air separation facility construction;RoW;air separation facility;unit
230;air separation facility construction;RER;air separation facility;unit
231;aircraft production, agricultural;GLO;aircraft, agricultural;unit
232;aircraft production, belly-freight aircraft, long haul;GLO;aircraft, belly freight, long haul;unit
233;aircraft production, belly-freight aircraft, medium haul;GLO;aircraft, belly freight, medium haul;unit
234;aircraft production, belly-freight aircraft, short haul;GLO;aircraft, belly freight, short haul;unit
235;aircraft production, belly-freight aircraft, very short haul;GLO;aircraft, belly freight, very short haul;unit
236;aircraft production, dedicated freight aircraft, long haul;GLO;aircraft, dedicated freight, long haul;unit
237;aircraft production, dedicated freight aircraft, medium haul;GLO;aircraft, dedicated freight, medium haul;unit
238;aircraft production, dedicated freight aircraft, short haul;GLO;aircraft, dedicated freight, short haul;unit
239;aircraft production, dedicated freight aircraft, very short haul;GLO;aircraft, dedicated freight, very short haul;unit
240;aircraft production, passenger aircraft, long haul;GLO;aircraft, passenger, long haul;unit
241;aircraft production, passenger aircraft, medium haul;GLO;aircraft, passenger, medium haul;unit
242;aircraft production, passenger aircraft, short haul;GLO;aircraft, passenger, short haul;unit
243;aircraft production, passenger aircraft, very short haul;GLO;aircraft, passenger, very short haul;unit
244;airport construction;RoW;airport;unit
245;airport construction;RER;airport;unit
246;alfalfa-grass mixture production, Swiss integrated production;CH;alfalfa-grass mixture, Swiss integrated production;kg
247;alfalfa/grass silage production;CA-QC;alfalfa-grass silage;kg
248;alfalfa/grass silage production;RoW;alfalfa-grass silage;kg
249;alfalfa/grass silage production;ZA;alfalfa-grass silage;kg
250;alkyd paint production, white, solvent-based, product in 60% solution state;RoW;alkyd paint, white, without solvent, in 60% solution state;kg
251;alkyd paint production, white, solvent-based, product in 60% solution state;RER;alkyd paint, white, without solvent, in 60% solution state;kg
252;alkyd paint production, white, water-based, product in 60% solution state;RoW;alkyd paint, white, without water, in 60% solution state;kg
253;alkyd paint production, white, water-based, product in 60% solution state;RER;alkyd paint, white, without water, in 60% solution state;kg
254;alkyd resin production, long oil, product in 70% white spirit solution state;RoW;alkyd resin, long oil, without solvent, in 70% white spirit solution state;kg
255;alkyd resin production, long oil, product in 70% white spirit solution state;RER;alkyd resin, long oil, without solvent, in 70% white spirit solution state;kg
256;alkyl sulphate (C12-14) production;GLO;alkyl sulphate (C12-14);kg
257;alkylbenzene production, linear;CA-QC;alkylbenzene, linear;kg
258;alkylbenzene production, linear;RoW;alkylbenzene, linear;kg
259;alkylbenzene production, linear;RER;alkylbenzene, linear;kg
260;alkylbenzene sulfonate production, linear, petrochemical;RoW;alkylbenzene sulfonate, linear, petrochemical;kg
261;alkylbenzene sulfonate production, linear, petrochemical;RER;alkylbenzene sulfonate, linear, petrochemical;kg
262;alkylketene dimer sizing agent production, for paper production;RoW;alkylketene dimer sizing agent, for paper production;kg
263;alkylketene dimer sizing agent production, for paper production;RER;alkylketene dimer sizing agent, for paper production;kg
264;allyl chloride production, reaction of propylene and chlorine;RoW;1,3-dichloropropene;kg
265;allyl chloride production, reaction of propylene and chlorine;RoW;allyl chloride;kg
266;allyl chloride production, reaction of propylene and chlorine;RoW;hydrochloric acid, without water, in 30% solution state;kg
267;allyl chloride production, reaction of propylene and chlorine;RER;1,3-dichloropropene;kg
268;allyl chloride production, reaction of propylene and chlorine;RER;allyl chloride;kg
269;allyl chloride production, reaction of propylene and chlorine;RER;hydrochloric acid, without water, in 30% solution state;kg
270;almond production;CN;almond;kg
271;almond production;RoW;almond;kg
272;almond production;US;almond;kg
273;alpha-naphthol production;RoW;alpha-naphthol;kg
274;alpha-naphthol production;RoW;sodium hydrogen sulfite;kg
275;alpha-naphthol production;RER;alpha-naphthol;kg
276;alpha-naphthol production;RER;sodium hydrogen sulfite;kg
277;alpha-picoline production;RoW;alpha-picoline;kg
278;alpha-picoline production;RER;alpha-picoline;kg
279;aluminium alloy production, AlLi;CA-QC;aluminium alloy, AlLi;kg
280;aluminium alloy production, AlLi;CA-QC;copper, cathode;kg
281;aluminium alloy production, AlLi;RoW;aluminium alloy, AlLi;kg
282;aluminium alloy production, AlLi;RoW;copper, cathode;kg
283;aluminium alloy production, AlMg3;RoW;aluminium alloy, AlMg3;kg
284;aluminium alloy production, AlMg3;RER;aluminium alloy, AlMg3;kg
285;aluminium alloy production, Metallic Matrix Composite;CA-QC;aluminium alloy, metal matrix composite;kg
286;aluminium alloy production, Metallic Matrix Composite;CA-QC;copper, cathode;kg
287;aluminium alloy production, Metallic Matrix Composite;RoW;aluminium alloy, metal matrix composite;kg
288;aluminium alloy production, Metallic Matrix Composite;RoW;copper, cathode;kg
289;aluminium around steel bi-metal stranded cable production, 3x3.67mm external diameter wire;CA-QC;aluminium around steel bi-metal stranded cable, 3x3.67mm external diameter wire;m
290;aluminium around steel bi-metal stranded cable production, 3x3.67mm external diameter wire;RoW;aluminium around steel bi-metal stranded cable, 3x3.67mm external diameter wire;m
291;aluminium around steel bi-metal wire production, 3.67 mm external diameter;CA-QC;aluminium around steel bi-metal wire, 3.67mm external diameter;m
292;aluminium around steel bi-metal wire production, 3.67 mm external diameter;RoW;aluminium around steel bi-metal wire, 3.67mm external diameter;m
293;aluminium casting facility construction;RoW;aluminium casting facility;unit
294;aluminium casting facility construction;RER;aluminium casting facility;unit
295;aluminium chloride production;GLO;aluminium chloride;kg
296;aluminium collector foil production, for Li-ion battery;GLO;aluminium collector foil, for Li-ion battery;kg
297;aluminium drilling, computer numerical controlled;RoW;aluminium removed by drilling, computer numerical controlled;kg
298;aluminium drilling, computer numerical controlled;RER;aluminium removed by drilling, computer numerical controlled;kg
299;aluminium drilling, conventional;RoW;aluminium removed by drilling, conventional;kg
300;aluminium drilling, conventional;RER;aluminium removed by drilling, conventional;kg
301;aluminium electrolysis facility construction;RoW;aluminium electrolysis facility;unit
302;aluminium electrolysis facility construction;RER;aluminium electrolysis facility;unit
303;aluminium fluoride production;RoW;aluminium fluoride;kg
304;aluminium fluoride production;RER;aluminium fluoride;kg
305;aluminium hydroxide factory construction;RoW;aluminium hydroxide factory;unit
306;aluminium hydroxide factory construction;RER;aluminium hydroxide factory;unit
307;aluminium hydroxide production;CN;aluminium hydroxide;kg
308;aluminium hydroxide production;IAI Area, Asia, without China and GCC;aluminium hydroxide;kg
309;aluminium hydroxide production;IAI Area, EU27 & EFTA;aluminium hydroxide;kg
310;aluminium hydroxide production;IAI Area, Russia & RER w/o EU27 & EFTA;aluminium hydroxide;kg
311;aluminium hydroxide production;IAI Area, South America;aluminium hydroxide;kg
312;aluminium hydroxide production;RNA;aluminium hydroxide;kg
313;aluminium hydroxide production;RoW;aluminium hydroxide;kg
314;aluminium hydroxide production;UN-OCEANIA;aluminium hydroxide;kg
315;aluminium ingot, primary, to aluminium, cast alloy market;GLO;aluminium, cast alloy;kg
316;aluminium ingot, primary, to aluminium, wrought alloy market;GLO;aluminium, wrought alloy;kg
317;aluminium melting furnace production;RoW;aluminium melting furnace;unit
318;aluminium melting furnace production;RER;aluminium melting furnace;unit
319;aluminium milling, average;RoW;aluminium removed by milling, average;kg
320;aluminium milling, average;RER;aluminium removed by milling, average;kg
321;aluminium milling, dressing;RoW;aluminium removed by milling, dressing;kg
322;aluminium milling, dressing;RER;aluminium removed by milling, dressing;kg
323;aluminium milling, large parts;RoW;aluminium removed by milling, large parts;kg
324;aluminium milling, large parts;RER;aluminium removed by milling, large parts;kg
325;aluminium milling, small parts;RoW;aluminium removed by milling, small parts;kg
326;aluminium milling, small parts;RER;aluminium removed by milling, small parts;kg
327;aluminium oxide factory construction;RoW;aluminium oxide factory;unit
328;aluminium oxide factory construction;RER;aluminium oxide factory;unit
329;aluminium oxide production;CN;aluminium oxide, metallurgical;kg
330;aluminium oxide production;CN;aluminium oxide, non-metallurgical;kg
331;aluminium oxide production;IAI Area, Asia, without China and GCC;aluminium oxide, metallurgical;kg
332;aluminium oxide production;IAI Area, Asia, without China and GCC;aluminium oxide, non-metallurgical;kg
333;aluminium oxide production;IAI Area, EU27 & EFTA;aluminium oxide, metallurgical;kg
334;aluminium oxide production;IAI Area, EU27 & EFTA;aluminium oxide, non-metallurgical;kg
335;aluminium oxide production;IAI Area, Russia & RER w/o EU27 & EFTA;aluminium oxide, metallurgical;kg
336;aluminium oxide production;IAI Area, Russia & RER w/o EU27 & EFTA;aluminium oxide, non-metallurgical;kg
337;aluminium oxide production;IAI Area, South America;aluminium oxide, metallurgical;kg
338;aluminium oxide production;IAI Area, South America;aluminium oxide, non-metallurgical;kg
339;aluminium oxide production;RNA;aluminium oxide, metallurgical;kg
340;aluminium oxide production;RNA;aluminium oxide, non-metallurgical;kg
341;aluminium oxide production;UN-OCEANIA;aluminium oxide, metallurgical;kg
342;aluminium oxide production;UN-OCEANIA;aluminium oxide, non-metallurgical;kg
343;aluminium oxide, metallurgical, import from Northern America;IAI Area, EU27 & EFTA;aluminium oxide, metallurgical;kg
344;aluminium oxide, metallurgical, import from Rest of Europe;IAI Area, EU27 & EFTA;aluminium oxide, metallurgical;kg
345;aluminium oxide, metallurgical, import from South America;IAI Area, EU27 & EFTA;aluminium oxide, metallurgical;kg
346;aluminium oxide, non-metallurgical to generic market for refractory material, acid;RoW;refractory material, acid;kg
347;aluminium oxide, non-metallurgical to generic market for refractory material, acid;IAI Area, EU27 & EFTA;refractory material, acid;kg
348;aluminium production, primary, cast alloy slab from continuous casting;CA-QC;aluminium, primary, cast alloy slab from continuous casting;kg
349;aluminium production, primary, cast alloy slab from continuous casting;RoW;aluminium, primary, cast alloy slab from continuous casting;kg
350;aluminium production, primary, ingot;CA;aluminium, primary, ingot;kg
351;aluminium production, primary, ingot;CN;aluminium, primary, ingot;kg
352;aluminium production, primary, ingot;IAI Area, Africa;aluminium, primary, ingot;kg
353;aluminium production, primary, ingot;IAI Area, Asia, without China and GCC;aluminium, primary, ingot;kg
354;aluminium production, primary, ingot;IAI Area, EU27 & EFTA;aluminium, primary, ingot;kg
355;aluminium production, primary, ingot;IAI Area, Gulf Cooperation Council;aluminium, primary, ingot;kg
356;aluminium production, primary, ingot;IAI Area, Russia & RER w/o EU27 & EFTA;aluminium, primary, ingot;kg
357;aluminium production, primary, ingot;IAI Area, South America;aluminium, primary, ingot;kg
358;aluminium production, primary, ingot;RoW;aluminium, primary, ingot;kg
359;aluminium production, primary, ingot;UN-OCEANIA;aluminium, primary, ingot;kg
360;aluminium production, primary, liquid, Söderberg;IAI Area, Asia, without China and GCC;aluminium, primary, liquid;kg
361;aluminium production, primary, liquid, Söderberg;IAI Area, EU27 & EFTA;aluminium, primary, liquid;kg
362;aluminium production, primary, liquid, Söderberg;IAI Area, Russia & RER w/o EU27 & EFTA;aluminium, primary, liquid;kg
363;aluminium production, primary, liquid, Söderberg;IAI Area, South America;aluminium, primary, liquid;kg
364;aluminium production, primary, liquid, Söderberg;RoW;aluminium, primary, liquid;kg
365;aluminium production, primary, liquid, prebake;CA;aluminium, primary, liquid;kg
366;aluminium production, primary, liquid, prebake;CN;aluminium, primary, liquid;kg
367;aluminium production, primary, liquid, prebake;IAI Area, Africa;aluminium, primary, liquid;kg
368;aluminium production, primary, liquid, prebake;IAI Area, Asia, without China and GCC;aluminium, primary, liquid;kg
369;aluminium production, primary, liquid, prebake;IAI Area, EU27 & EFTA;aluminium, primary, liquid;kg
370;aluminium production, primary, liquid, prebake;IAI Area, Gulf Cooperation Council;aluminium, primary, liquid;kg
371;aluminium production, primary, liquid, prebake;IAI Area, Russia & RER w/o EU27 & EFTA;aluminium, primary, liquid;kg
372;aluminium production, primary, liquid, prebake;IAI Area, South America;aluminium, primary, liquid;kg
