index;activityName;geography;product;unitName
20289;treatment of coal gas, in power plant;GB;heat, district or industrial, other than natural gas;MJ
20290;treatment of coal gas, in power plant;HR;electricity, high voltage;kWh
20291;treatment of coal gas, in power plant;HR;heat, district or industrial, other than natural gas;MJ
20292;treatment of coal gas, in power plant;HU;electricity, high voltage;kWh
20293;treatment of coal gas, in power plant;HU;heat, district or industrial, other than natural gas;MJ
20294;treatment of coal gas, in power plant;IR;electricity, high voltage;kWh
20295;treatment of coal gas, in power plant;IR;heat, district or industrial, other than natural gas;MJ
20296;treatment of coal gas, in power plant;IT;electricity, high voltage;kWh
20297;treatment of coal gas, in power plant;IT;heat, district or industrial, other than natural gas;MJ
20298;treatment of coal gas, in power plant;JP;electricity, high voltage;kWh
20299;treatment of coal gas, in power plant;JP;heat, district or industrial, other than natural gas;MJ
20300;treatment of coal gas, in power plant;KR;electricity, high voltage;kWh
20301;treatment of coal gas, in power plant;KR;heat, district or industrial, other than natural gas;MJ
20302;treatment of coal gas, in power plant;MX;electricity, high voltage;kWh
20303;treatment of coal gas, in power plant;MX;heat, district or industrial, other than natural gas;MJ
20304;treatment of coal gas, in power plant;NL;electricity, high voltage;kWh
20305;treatment of coal gas, in power plant;NL;heat, district or industrial, other than natural gas;MJ
20306;treatment of coal gas, in power plant;PL;electricity, high voltage;kWh
20307;treatment of coal gas, in power plant;PL;heat, district or industrial, other than natural gas;MJ
20308;treatment of coal gas, in power plant;RO;electricity, high voltage;kWh
20309;treatment of coal gas, in power plant;RO;heat, district or industrial, other than natural gas;MJ
20310;treatment of coal gas, in power plant;RS;electricity, high voltage;kWh
20311;treatment of coal gas, in power plant;RS;heat, district or industrial, other than natural gas;MJ
20312;treatment of coal gas, in power plant;RU;electricity, high voltage;kWh
20313;treatment of coal gas, in power plant;RU;heat, district or industrial, other than natural gas;MJ
20314;treatment of coal gas, in power plant;RoW;electricity, high voltage;kWh
20315;treatment of coal gas, in power plant;RoW;heat, district or industrial, other than natural gas;MJ
20316;treatment of coal gas, in power plant;SE;electricity, high voltage;kWh
20317;treatment of coal gas, in power plant;SE;heat, district or industrial, other than natural gas;MJ
20318;treatment of coal gas, in power plant;SK;electricity, high voltage;kWh
20319;treatment of coal gas, in power plant;SK;heat, district or industrial, other than natural gas;MJ
20320;treatment of coal gas, in power plant;TR;electricity, high voltage;kWh
20321;treatment of coal gas, in power plant;TR;heat, district or industrial, other than natural gas;MJ
20322;treatment of coal gas, in power plant;TW;electricity, high voltage;kWh
20323;treatment of coal gas, in power plant;TW;heat, district or industrial, other than natural gas;MJ
20324;treatment of coal gas, in power plant;UA;electricity, high voltage;kWh
20325;treatment of coal gas, in power plant;UA;heat, district or industrial, other than natural gas;MJ
20326;treatment of coal slurry, impoundment;GLO;coal slurry;kg
20327;treatment of coating from waste cathode ray tube display, municipal incineration;GLO;coating from waste cathode ray tube display;kg
20328;treatment of coating from waste cathode ray tube display, municipal incineration FAE;CH;coating from waste cathode ray tube display;kg
20329;treatment of condensate from light oil boiler, wastewater treatment;CH;condensate from light oil boiler;m3
20330;treatment of condensate from light oil boiler, wastewater treatment;RoW;condensate from light oil boiler;m3
20331;treatment of conditioned spent nuclear fuel, in interim storage;CH;conditioned spent nuclear fuel;m3
20332;treatment of conditioned spent nuclear fuel, in interim storage;Europe without Switzerland;conditioned spent nuclear fuel;m3
20333;treatment of conditioned spent nuclear fuel, in interim storage;RoW;conditioned spent nuclear fuel;m3
20334;treatment of copper cake;GLO;copper, cathode;kg
20335;treatment of copper in car shredder residue, municipal incineration;GLO;copper in car shredder residue;kg
20336;treatment of copper in car shredder residue, municipal incineration FAE;CH;copper in car shredder residue;kg
20337;treatment of copper scrap by electrolytic refining;RoW;copper, cathode;kg
20338;treatment of copper scrap by electrolytic refining;RER;copper, cathode;kg
20339;treatment of copper slag, residual material landfill;GLO;copper slag;kg
20340;treatment of crust from Parkes process for lead production;GLO;silver;kg
20341;treatment of damaged clay material, open dump;EC;damaged clay material;kg
20342;treatment of damaged clay roof tile, glazed, open dump;EC;damaged clay roof tile, glazed;kg
20343;treatment of decarbonising waste, residual material landfill;CH;decarbonising waste;kg
20344;treatment of decarbonising waste, residual material landfill;RoW;decarbonising waste;kg
20345;treatment of decommissioned airport infrastructure, contaminated gravel;RoW;decommissioned airport infrastructure, contaminated gravel;unit
20346;treatment of decommissioned airport infrastructure, contaminated gravel;RER;decommissioned airport infrastructure, contaminated gravel;unit
20347;treatment of decommissioned chemical production facilities;RoW;decommissioned chemical production facilities;kg
20348;treatment of decommissioned chemical production facilities;RER;decommissioned chemical production facilities;kg
20349;treatment of decommissioned pipeline, natural gas, inert material landfill;CH;decommissioned pipeline, natural gas;kg
20350;treatment of decommissioned pipeline, natural gas, inert material landfill;RoW;decommissioned pipeline, natural gas;kg
20351;treatment of decommissioned road;RoW;decommissioned road;m*year
20352;treatment of decommissioned road;RER;decommissioned road;m*year
20353;treatment of decommissioned tram track;CH;decommissioned tram track;m*year
20354;treatment of decommissioned tram track;RoW;decommissioned tram track;m*year
20355;treatment of digester sludge, municipal incineration;GLO;electricity, for reuse in municipal waste incineration only;kWh
20356;treatment of digester sludge, municipal incineration;GLO;heat, for reuse in municipal waste incineration only;MJ
20357;treatment of digester sludge, municipal incineration FAE;CH;electricity, for reuse in municipal waste incineration only;kWh
20358;treatment of digester sludge, municipal incineration FAE;CH;heat, for reuse in municipal waste incineration only;MJ
20359;treatment of drilling waste, landfarming;CH;drilling waste;kg
20360;treatment of drilling waste, landfarming;RoW;drilling waste;kg
20361;treatment of drilling waste, residual material landfill;CH;drilling waste;kg
20362;treatment of drilling waste, residual material landfill;RoW;drilling waste;kg
20363;treatment of dross from Al electrolysis, residual material landfill;CA;dross from Al electrolysis;kg
20364;treatment of dross from Al electrolysis, residual material landfill;CN;dross from Al electrolysis;kg
20365;treatment of dross from Al electrolysis, residual material landfill;RoW;dross from Al electrolysis;kg
20366;treatment of dross from Al electrolysis, residual material landfill;RER;dross from Al electrolysis;kg
20367;treatment of electric arc furnace dust, residual material landfill;CH;electric arc furnace dust;kg
20368;treatment of electric arc furnace dust, residual material landfill;RoW;electric arc furnace dust;kg
20369;treatment of electric arc furnace secondary metallurgy slag, residual material landfill;GLO;electric arc furnace secondary metallurgy slag;kg
20370;treatment of electric arc furnace slag, residual material landfill;CH;electric arc furnace slag;kg
20371;treatment of electric arc furnace slag, residual material landfill;RoW;electric arc furnace slag;kg
20372;treatment of electronics scrap from control units;RoW;electronics scrap from control units;kg
20373;treatment of electronics scrap from control units;RER;electronics scrap from control units;kg
20374;treatment of electronics scrap, metals recovery in copper smelter;RoW;lead;kg
20375;treatment of electronics scrap, metals recovery in copper smelter;RoW;metal part of electronics scrap, in copper, anode;kg
20376;treatment of electronics scrap, metals recovery in copper smelter;SE;lead;kg
20377;treatment of electronics scrap, metals recovery in copper smelter;SE;metal part of electronics scrap, in copper, anode;kg
20378;treatment of filter dust from Al electrolysis, residual material landfill;CH;filter dust from Al electrolysis;kg
20379;treatment of filter dust from Al electrolysis, residual material landfill;RoW;filter dust from Al electrolysis;kg
20380;treatment of fly ash and scrubber sludge, hazardous waste incineration;CH;fly ash and scrubber sludge;kg
20381;treatment of fly ash and scrubber sludge, hazardous waste incineration;Europe without Switzerland;fly ash and scrubber sludge;kg
20382;treatment of fly ash and scrubber sludge, hazardous waste incineration;RoW;fly ash and scrubber sludge;kg
20383;treatment of fly ash and scrubber sludge, hazardous waste incineration, with energy recovery;CH;electricity, medium voltage;kWh
20384;treatment of fly ash and scrubber sludge, hazardous waste incineration, with energy recovery;CH;fly ash and scrubber sludge;kg
20385;treatment of fly ash and scrubber sludge, hazardous waste incineration, with energy recovery;CH;heat, district or industrial, other than natural gas;MJ
20386;treatment of fly ash and scrubber sludge, hazardous waste incineration, with energy recovery;Europe without Switzerland;electricity, medium voltage;kWh
